Wall time,Step,Value
1573534345.5918045,1295,-1.0
1573534347.7830331,1301,-1.0
1573534352.472012,1311,-1.0
1573534356.949722,1316,-1.0
1573534357.2900326,1317,-1.0
1573534359.6144857,1320,-1.0
1573534363.272145,1326,-1.0
1573534364.8472047,1328,-1.0
1573534366.974027,1331,-1.0
1573534368.6347132,1334,1.0
1573534370.4185076,1337,-1.0
1573534370.719293,1338,-1.0
1573534384.2753565,1356,1.0
1573534392.4410105,1371,-1.0
1573534400.092061,1386,-1.0
1573534401.3014927,1389,-1.0
1573534401.520851,1390,-1.0
1573534401.8278325,1392,-1.0
1573534401.912674,1393,-1.0
1573534414.6163745,1414,-1.0
1573534414.730139,1415,-1.0
1573534417.107806,1420,-1.0
1573534419.0974014,1423,-1.0
1573534420.7472143,1427,-1.0
1573534422.4269938,1429,-1.0
1573534424.0132232,1433,-1.0
1573534425.9561846,1437,-1.0
1573534429.4149072,1441,-1.0
1573534447.5754187,1466,-1.0
1573534447.891311,1467,-1.0
1573534454.936383,1478,-1.0
1573534459.1089656,1486,-1.0
1573534459.3226364,1487,-1.0
1573534461.391212,1490,-1.0
1573534461.541953,1492,1.0
1573534463.7938063,1493,-1.0
1573534469.9588528,1502,-1.0
1573534473.3775575,1509,1.0
1573534480.6469223,1524,-1.0
1573534480.9215865,1525,-1.0
1573534482.5317004,1528,-1.0
1573534494.3349996,1547,-1.0
1573534498.1256394,1552,-1.0
1573534498.3088176,1553,1.0
1573534498.7374172,1555,-1.0
1573534505.2341511,1562,-1.0
1573534509.4493062,1569,-1.0
1573534509.6804066,1570,-1.0
1573534514.580456,1579,1.0
1573534516.020093,1583,-1.0
1573534517.6450317,1585,-1.0
1573534519.746108,1589,-1.0
1573534525.02955,1598,-1.0
1573534528.8007083,1605,-1.0
1573534529.2254517,1606,-1.0
1573534533.9365864,1611,1.0
1573534540.3970237,1619,-1.0
1573534545.096061,1628,1.0
1573534545.3163996,1629,-1.0
1573534548.2402258,1633,-1.0
1573534550.390174,1638,0.0
1573534552.4463816,1641,-1.0
1573534554.074027,1643,1.0
1573534556.1382701,1646,-1.0
1573534556.7324226,1649,-1.0
1573534559.9998877,1653,-1.0
1573534563.7945738,1661,-1.0
1573534568.3374815,1669,-1.0
1573534570.5003324,1673,-1.0
1573534572.3082862,1676,-1.0
1573534572.5789018,1677,-1.0
1573534577.020792,1683,0.0
1573534583.8317957,1692,-1.0
1573534585.909763,1696,1.0
1573534586.064408,1697,-1.0
1573534587.2915182,1698,1.0
1573534588.0105994,1700,-1.0
1573534589.1760454,1703,-1.0
1573534594.1473274,1710,0.0
1573534599.2282207,1719,-1.0
1573534599.4777832,1720,-1.0
1573534605.2976813,1729,-1.0
1573534607.5829556,1733,-1.0
1573534609.410452,1735,-1.0
1573534611.4317575,1738,-1.0
1573534613.9760597,1743,-1.0
1573534615.3153877,1744,-1.0
1573534617.520905,1746,-1.0
1573534617.8476412,1747,-1.0
1573534618.1524477,1748,-1.0
1573534621.9017155,1753,-1.0
1573534633.369048,1767,-1.0
1573534635.9904103,1776,-1.0
1573534642.4969153,1782,-1.0
1573534646.2423847,1789,-1.0
1573534649.0020518,1790,-1.0
1573534653.7464051,1799,-1.0
1573534655.7894602,1806,1.0
1573534660.8266923,1818,-1.0
1573534663.4850483,1825,-1.0
1573534664.8783062,1827,-1.0
1573534667.0021625,1831,-1.0
1573534671.598021,1841,-1.0
1573534671.6822367,1842,-1.0
1573534671.9242306,1845,-1.0
1573534673.966661,1850,-1.0
1573534676.9465609,1854,-1.0
1573534683.6495614,1867,-1.0
1573534685.6591861,1870,-1.0
1573534688.6029942,1876,-1.0
1573534688.6478324,1877,-1.0
1573534690.125428,1878,-1.0
1573534698.0619743,1894,-1.0
1573534704.6824281,1912,-1.0
1573534706.537359,1918,-1.0
1573534710.6130009,1925,-1.0
1573534715.2899714,1931,-1.0
1573534715.9939125,1935,-1.0
1573534717.376092,1937,-1.0
1573534717.9174757,1939,-1.0
1573534721.4294066,1945,-1.0
1573534721.9042635,1948,-1.0
1573534723.8487284,1950,-1.0
1573534725.8235428,1953,-1.0
1573534728.0028956,1956,-1.0
1573534729.9205952,1959,-1.0
1573534734.08835,1968,-1.0
1573534734.7976155,1970,-1.0
1573534744.8195164,1982,1.0
1573534744.8937373,1983,-1.0
1573534746.574569,1984,-1.0
1573534757.4782956,1998,-1.0
1573534760.0355847,2002,-1.0
1573534763.6274192,2006,-1.0
1573534764.1942484,2010,-1.0
1573534764.3901064,2011,-1.0
1573534766.3770585,2014,-1.0
1573534768.3179245,2016,-1.0
1573534769.0447946,2018,-1.0
1573534776.2985926,2026,-1.0
1573534776.826958,2028,-1.0
1573534779.7727153,2031,-1.0
1573534780.3851159,2034,1.0
1573534782.7655416,2037,-1.0
1573534784.2103386,2039,-1.0
1573534787.035147,2042,-1.0
1573534803.1081314,2061,-1.0
1573534809.086826,2073,-1.0
1573534810.3987005,2074,-1.0
1573534810.638975,2075,-1.0
1573534812.3483744,2077,-1.0
1573534812.5134041,2078,-1.0
1573534814.3503473,2080,-1.0
1573534816.676796,2082,1.0
1573534819.004386,2086,-1.0
1573534823.9551558,2090,-1.0
1573534826.636366,2095,-1.0
1573534827.0203514,2097,-1.0
1573534835.2259989,2104,-1.0
1573534839.4161606,2107,-1.0
1573534841.9508557,2112,-1.0
1573534846.6042035,2116,-1.0
1573534851.2000327,2121,-1.0
1573534853.57044,2123,1.0
1573534853.6491568,2124,-1.0
1573534861.132205,2135,-1.0
1573534863.6153455,2139,-1.0
1573534865.7860017,2142,-1.0
1573534867.9852314,2145,-1.0
1573534870.2317355,2146,-1.0
1573534872.8554237,2149,-1.0
1573534873.164695,2150,1.0
1573534874.8610787,2152,-1.0
1573534880.0992548,2157,-1.0
1573534880.1810036,2158,1.0
1573534884.4048998,2165,-1.0
1573534884.6617157,2166,1.0
